Search by,Search for,Email,Photo,Extra Information to Display (optional but good)
Arfon,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Arfon,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Arfon,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Arfon,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Blaenau Gwent,Alun Davies,Alun.Davies@senedd.wales,https://business.senedd.wales/UserData/5/2/2/Info00000225/bigpic.jpg,Welsh Labour MS for Blaenau Gwent
Blaenau Gwent,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Blaenau Gwent,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Blaenau Gwent,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Blaenau Gwent,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Brecon and Radnorshire / Brycheiniog a Sir Faesyfed,James Evans,James.Evans@senedd.wales,https://business.senedd.wales/UserData/5/8/5/Info00008585/bigpic.jpg,Welsh Conservative MS for Brecon and Radnorshire
Brecon and Radnorshire / Brycheiniog a Sir Faesyfed,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Brecon and Radnorshire / Brycheiniog a Sir Faesyfed,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Brecon and Radnorshire / Brycheiniog a Sir Faesyfed,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Brecon and Radnorshire / Brycheiniog a Sir Faesyfed,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Bridgend / Pen-y-bont ar Ogwr,Sarah Murphy,Sarah.Murphy@Senedd.Wales,https://business.senedd.wales/UserData/4/9/5/Info00008594/bigpic.jpg,Welsh Labour MS for Bridgend
Bridgend / Pen-y-bont ar Ogwr,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Bridgend / Pen-y-bont ar Ogwr,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Bridgend / Pen-y-bont ar Ogwr,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Bridgend / Pen-y-bont ar Ogwr,Sioned Williams,Sioned.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Caerphilly / Caerffili,Hefin David,Hefin.David@senedd.wales,https://business.senedd.wales/UserData/3/1/5/Info00000513/bigpic.jpg,Welsh Labour MS for Caerphilly
Caerphilly / Caerffili,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Caerphilly / Caerffili,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Caerphilly / Caerffili,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Caerphilly / Caerffili,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Cardiff Central / Canol Caerdydd,Jenny Rathbone,Jenny.Rathbone@senedd.wales,https://business.senedd.wales/UserData/1/4/2/Info00000241/bigpic.jpg,Welsh Labour MS for Cardiff Central
Cardiff Central / Canol Caerdydd,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff Central / Canol Caerdydd,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff Central / Canol Caerdydd,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff Central / Canol Caerdydd,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff North / Gogledd Caerdydd,Julie Morgan,Julie.Morgan@senedd.wales,https://business.senedd.wales/UserData/5/4/2/Info00000245/bigpic.jpg,Welsh Labour MS for Cardiff North
Cardiff North / Gogledd Caerdydd,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff North / Gogledd Caerdydd,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff North / Gogledd Caerdydd,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff North / Gogledd Caerdydd,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff South and Penarth / De Caerdydd a Phenarth,Vaughan Gething,Vaughan.Gething@senedd.wales,https://business.senedd.wales/UserData/9/4/2/Info00000249/bigpic.jpg,Welsh Labour MS for Cardiff South and Penarth
Cardiff South and Penarth / De Caerdydd a Phenarth,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff South and Penarth / De Caerdydd a Phenarth,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff South and Penarth / De Caerdydd a Phenarth,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff South and Penarth / De Caerdydd a Phenarth,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff West / Gorllewin Caerdydd,Mark Drakeford,Mark.Drakeford@senedd.wales,https://business.senedd.wales/UserData/3/5/2/Info00000253/bigpic.jpg,Welsh Labour MS for Cardiff West
Cardiff West / Gorllewin Caerdydd,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff West / Gorllewin Caerdydd,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cardiff West / Gorllewin Caerdydd,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cardiff West / Gorllewin Caerdydd,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Carmarthen East and Dinefwr / Dwyrain Caerfyrddin a Dinefwr,Adam Price,Adam.Price@senedd.wales,https://business.senedd.wales/UserData/0/3/0/Info00005030/bigpic.jpg,Plaid Cymru MS for Carmarthen East and Dinefwr
Carmarthen East and Dinefwr / Dwyrain Caerfyrddin a Dinefwr,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Carmarthen East and Dinefwr / Dwyrain Caerfyrddin a Dinefwr,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Carmarthen East and Dinefwr / Dwyrain Caerfyrddin a Dinefwr,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Carmarthen East and Dinefwr / Dwyrain Caerfyrddin a Dinefwr,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Carmarthen West and South Pembrokeshire / Gorllewin Caerfyrddin a De Sir Benfro,Samuel Kurtz,Samuel.Kurtz@senedd.wales,https://business.senedd.wales/UserData/2/4/6/Info00008642/bigpic.jpg,Welsh Conservative MS for Carmarthen West and South Pembrokeshire
Carmarthen West and South Pembrokeshire / Gorllewin Caerfyrddin a De Sir Benfro,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Carmarthen West and South Pembrokeshire / Gorllewin Caerfyrddin a De Sir Benfro,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Carmarthen West and South Pembrokeshire / Gorllewin Caerfyrddin a De Sir Benfro,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Carmarthen West and South Pembrokeshire / Gorllewin Caerfyrddin a De Sir Benfro,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Ceredigion,Elin Jones,Elin.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/1/Info00000162/bigpic.jpg,Plaid Cymru MS for Ceredigion
Ceredigion,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Ceredigion,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Ceredigion,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Ceredigion,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Clwyd South / De Clwyd,Ken Skates,Ken.Skates@senedd.wales,https://business.senedd.wales/UserData/7/6/2/Info00000267/bigpic.jpg,Welsh Labour MS for Clwyd South
Clwyd South / De Clwyd,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Clwyd South / De Clwyd,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Clwyd South / De Clwyd,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Clwyd South / De Clwyd,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Clwyd West / Gorllewin Clwyd,Darren Millar,Darren.Millar@senedd.wales,https://business.senedd.wales/UserData/1/7/1/Info00000171/bigpic.jpg,Welsh Conservative MS for Clwyd West
Clwyd West / Gorllewin Clwyd,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Clwyd West / Gorllewin Clwyd,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Clwyd West / Gorllewin Clwyd,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Clwyd West / Gorllewin Clwyd,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Cynon Valley / Cwm Cynon,Vikki Howells,Vikki.Howells@senedd.wales,https://business.senedd.wales/UserData/7/0/1/Info00005107/bigpic.jpg,Welsh Labour MS for Cynon Valley
Cynon Valley / Cwm Cynon,Rhys ab Owen,Rhys.abOwen@senedd.wales,https://business.senedd.wales/UserData/5/2/6/Info00008625/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cynon Valley / Cwm Cynon,Andrew RT Davies,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Cynon Valley / Cwm Cynon,Heledd Fychan,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg,Plaid Cymru regional MS for South Wales Central
Cynon Valley / Cwm Cynon,Joel James,Joel.James@senedd.wales,https://business.senedd.wales/UserData/7/8/6/Info00008687/bigpic.jpg,Welsh Conservative regional MS for South Wales Central
Delyn,Hannah Blythyn,Hannah.Blythyn@senedd.wales,https://business.senedd.wales/UserData/2/1/1/Info00005112/bigpic.jpg,Welsh Labour MS for Delyn
Delyn,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Delyn,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Delyn,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Delyn,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Dwyfor Meirionnydd,Mabon ap Gwynfor,Mabon.ap.Gwynfor@senedd.wales,https://business.senedd.wales/UserData/9/6/2/Info00000269/bigpic.jpg,Plaid Cymru MS for Dwyfor Meirionnydd
Dwyfor Meirionnydd,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Dwyfor Meirionnydd,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Dwyfor Meirionnydd,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Dwyfor Meirionnydd,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Gower / Gwyr,Rebecca Evans,Rebecca.Evans@senedd.wales,https://business.senedd.wales/UserData/5/7/3/Info00000375/bigpic.jpg,Welsh Labour MS for Gower
Gower / Gwyr,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Gower / Gwyr,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Gower / Gwyr,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Gower / Gwyr,Sioned Williams,Sioned.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Islwyn,Rhianon Passmore,Rhianon.Passmore@senedd.wales,https://business.senedd.wales/UserData/1/5/6/Info00004651/bigpic.jpg,Welsh Labour MS for Islwyn
Islwyn,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Islwyn,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Islwyn,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Islwyn,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Llanelli,Lee Waters,Lee.Waters@senedd.wales,https://business.senedd.wales/UserData/8/7/9/Info00004978/bigpic.jpg,Welsh Labour MS for Llanelli
Llanelli,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Llanelli,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Llanelli,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Llanelli,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Merthyr Tydfil and Rhymney / Merthyr Tudful a Rhymni,Dawn Bowden,Dawn.Bowden@senedd.wales,https://business.senedd.wales/UserData/8/8/9/Info00004988/bigpic.jpg,Welsh Labour MS for Merthyr Tydfil and Rhymney
Merthyr Tydfil and Rhymney / Merthyr Tudful a Rhymni,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Merthyr Tydfil and Rhymney / Merthyr Tudful a Rhymni,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Merthyr Tydfil and Rhymney / Merthyr Tudful a Rhymni,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Merthyr Tydfil and Rhymney / Merthyr Tudful a Rhymni,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Monmouth / Sir Fynwy,Peter Fox,Peter.Fox@senedd.wales,https://business.senedd.wales/UserData/7/8/7/Info00004787/bigpic.jpg,Welsh Conservative MS for Monmouth
Monmouth / Sir Fynwy,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Monmouth / Sir Fynwy,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Monmouth / Sir Fynwy,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Monmouth / Sir Fynwy,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Montgomeryshire / Sir Drefaldwyn,Russell George,Russell.George@senedd.wales,https://business.senedd.wales/UserData/3/0/3/Info00000303/bigpic.jpg,Welsh Conservative MS for Montgomeryshire
Montgomeryshire / Sir Drefaldwyn,Cefin Campbell,Cefin.Campbell@Senedd.Wales,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,Plaid Cymru regional MS for Mid and West Wales
Montgomeryshire / Sir Drefaldwyn,Jane Dodds,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg,Welsh Liberal Democrats regional MS for Mid and West Wales
Montgomeryshire / Sir Drefaldwyn,Eluned Morgan,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Montgomeryshire / Sir Drefaldwyn,Joyce Watson,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Welsh Labour regional MS for Mid and West Wales
Neath / Castell-nedd,Jeremy Miles,Jeremy.Miles@senedd.wales,https://business.senedd.wales/UserData/1/2/0/Info00005021/bigpic.jpg,Welsh Labour MS for Neath
Neath / Castell-nedd,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Neath / Castell-nedd,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Neath / Castell-nedd,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Neath / Castell-nedd,Sioned Williams,Sioned.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Newport East / Dwyrain Casnewydd,John Griffiths,John.Griffiths@senedd.wales,https://business.senedd.wales/UserData/3/5/1/Info00000153/bigpic.jpg,Welsh Labour MS for Newport East
Newport East / Dwyrain Casnewydd,Natasha Asghar,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Newport East / Dwyrain Casnewydd,Delyth Jewell,Delyth.Jewell@senedd.wales,https://business.senedd.wales/UserData/7/0/2/Info00005207/bigpic.jpg,Plaid Cymru regional MS for South Wales East
Newport East / Dwyrain Casnewydd,Laura Anne Jones,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg,Welsh Conservative regional MS for South Wales East
Newport East / Dwyrain Casnewydd,Peredur Owen Griffiths,Peredur.OwenGriffiths@senedd.wales,https://business.senedd.wales/UserData/9/7/5/Info00008579/bigpic.jpg,Plaid Cymru regional MS for South Wales East
